Название,Количество_источников,Источники,Встречается_в_3х,Встречается_в_2х,Уникальная
sonic. нежелательные последствия. комикс. том 1,1,bookvoed,False,False,True
дневник памяти,1,bookvoed,False,False,True
желчный ангел,1,livelib,False,False,True
плетущая,1,livelib,False,False,True
воспитание бабочек,1,livelib,False,False,True
о детях кощеевых,1,livelib,False,False,True
заступа: чернее черного (сб...,1,livelib,False,False,True
хеску. кровь дома базаард,1,livelib,False,False,True
злодейский путь!.. том 5,1,livelib,False,False,True
туман. вне измерений. том 1,1,livelib,False,False,True
мужчина не моей мечты,1,livelib,False,False,True
королевская кровь. вороново...,1,livelib,False,False,True
леди и бродяга,1,livelib,False,False,True
счастливого дня пробуждения,1,livelib,False,False,True
невеста стального дракона,1,livelib,False,False,True
хозяйка ворон и железный до...,1,livelib,False,False,True
саспыга,1,livelib,False,False,True
секс был. интимная жизнь со...,1,livelib,False,False,True
темный двойник корсакова. о...,1,livelib,False,False,True
сад эдельвейсов,1,livelib,False,False,True
сплетня,1,livelib,False,False,True
сны и рассказы,1,livelib,False,False,True
смех бессмертных,1,livelib,False,False,True
мертвым можно все (сборник),1,livelib,False,False,True
волшебные коньки,1,livelib,False,False,True
"три жизни, три мира: записк...",1,livelib,False,False,True
повелитель демонов влюбился...,1,livelib,False,False,True
девять хвостов бессмертного...,1,livelib,False,False,True
"каллиопа, дерево, кориск",1,livelib,False,False,True
прах и пепел (сборник),1,livelib,False,False,True
устинья. возвращение,1,livelib,False,False,True
"все как ты хотел, или (не) ...",1,livelib,False,False,True
караваджо: палитра и шпага....,1,livelib,False,False,True
бесшабашный. книга 4. по се...,1,livelib,False,False,True
убийство в британском музее,1,livelib,False,False,True
мы разобьемся как лед,1,livelib,False,False,True
сердце василиска (сборник),1,livelib,False,False,True
рыцарь моего лета,1,livelib,False,False,True
магия текста. как колдовать...,1,livelib,False,False,True
шепот в тишине. мистические...,1,livelib,False,False,True
человек-бензопила. книга 13,1,livelib,False,False,True
некромант-одиночка. новелла...,1,livelib,False,False,True
королева со скальпелем. док...,1,livelib,False,False,True
любовь в одно касание,1,livelib,False,False,True
зоопарк. звериная история,1,livelib,False,False,True
"злодейка, перевернувшая пес...",1,livelib,False,False,True
вий. графический роман,1,livelib,False,False,True
naruto. наруто. книга 17. с...,1,livelib,False,False,True
климт: золото модерна,1,livelib,False,False,True
высшая каста,1,livelib,False,False,True
отныне я гадкий утенок в се...,1,livelib,False,False,True
падчерица смерти (сборник),1,livelib,False,False,True
в лунном свете меркнет плам...,1,livelib,False,False,True
новые чудеса дивнозёрья,1,livelib,False,False,True
удивительные сказания дивно...,1,livelib,False,False,True
под покровом тишины. книга ...,1,livelib,False,False,True
цвет,1,livelib,False,False,True
как читать книги? (сборник),1,livelib,False,False,True
тайна кошачьего братства,1,livelib,False,False,True
почему офелия не может поки...,1,livelib,False,False,True
заглянувший,1,livelib,False,False,True
